STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,ACTIVITY,Economic activity,MEASURE,Measure,PRICE_BASE,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,EST_METHOD,Estimation methodology,OBS_STATUS,Observation status
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,BEL,Belgium,B,Mining and quarrying,B1G,Value added,V,Current prices,XDC,National currency,2012,,296.4,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,BEL,Belgium,LTN,Real estate; Professional and business support services,B1G,Value added,V,Current prices,XDC,National currency,2012,,77895.1,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,BEL,Belgium,J,Information and communication,B1G,Value added,V,Current prices,XDC,National currency,2012,,14901.5,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,BEL,Belgium,A,"Agriculture, forestry and fishing",B1G,Value added,V,Current prices,XDC,National currency,2012,,3276.4,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,CAN,Canada,C,Manufacturing,B1G,Value added,V,Current prices,XDC,National currency,2012,,189187,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,CAN,Canada,J,Information and communication,B1G,Value added,V,Current prices,XDC,National currency,2012,,76634,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,CAN,Canada,A,"Agriculture, forestry and fishing",B1G,Value added,V,Current prices,XDC,National currency,2012,,33097,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,CAN,Canada,B,Mining and quarrying,B1G,Value added,V,Current prices,XDC,National currency,2012,,124531,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,CAN,Canada,F,Construction,B1G,Value added,V,Current prices,XDC,National currency,2012,,134959,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,CAN,Canada,LTN,Real estate; Professional and business support services,B1G,Value added,V,Current prices,XDC,National currency,2012,,327587,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,CAN,Canada,D_E,"Electricity, gas, steam and air conditioning supply; Water supply; sewerage, waste management and remediation activities",B1G,Value added,V,Current prices,XDC,National currency,2012,,44097,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,CAN,Canada,K,Financial and insurance activities,B1G,Value added,V,Current prices,XDC,National currency,2012,,116338,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,CAN,Canada,OTU,Other services,B1G,Value added,V,Current prices,XDC,National currency,2012,,373662,,,,6,Millions,1,One,,,A,Normal value
