cpc3,isic_rev3_4,probability_weight
"F22","4100",.0369003
"F23","2693",.0259612
"F23","2911",.1246012
"F23","2914",.641786
"F23","4020",.1388215
"F23","4030",.0688301
"F24","2610",.0242268
"F24","2914",.0496342
"F24","2919",.112109
"F24","2930",.4430183
"F24","3312",.0297145
"F24","4030",.3412973
"F25","2919",.1014552
"F25","2930",.7620692
"F25","4020",.0794155
"F25","4100",.0570601
"F26","1544",.0376129
"F26","1712",.0455632
"F26","1730",.0657632
"F26","2021",.0434982
"F26","2023",.0475771
"F26","2101",.0474651
"F26","2422",.0577305
"F26","2914",.0371107
"F26","2915",.2016275
"F26","2919",.0351307
"F26","4030",.1828892
"F26","4100",.1980319
"F27","2692",.0506277
"F27","2710",.0271548
"F27","2914",.9222175
"F28","2919",.8726429
"F28","4030",.1273571
"F41","2927",1
"F42","2429",.4893627
"F42","2927",.5106373
"G01","0200",.0674463
"G01","3000",.0349623
"G01","3210",.0318921
"G01","3311",.1712005
"G01","3312",.3087289
"G01","3313",.1494353
"G01","3320",.1804035
"G01","3530",.0232972
"G01","4100",.0252166
"G01","7422",.0073204
"G01","9900",.0000969
"G02","2413",.0833453
"G02","2429",.0856562
"G02","2610",.3741335
"G02","3130",.4568649
"G03","2222",.0557184
"G03","2411",.0356978
"G03","2413",.0766882
"G03","3320",.796536
"G03","7494",.0353596
"G04","3330",1
"G05","2922",.2184444
"G05","3000",.1267823
"G05","3312",.1894361
"G05","3313",.2811829
"G05","3530",.1363603
"G05","7220",.0471579
"G05","7493",.00048
"G05","7521",.0001562
"G06","2219",.0002116
"G06","3000",.6694964
"G06","3330",.0314269
"G06","5010",.0001225
"G06","5110",.0311133
"G06","5139",.0000318
"G06","5141",.0000318
"G06","5150",.0001275
"G06","5190",.0001751
"G06","5231",.0000159
"G06","5233",.0000159
"G06","5260",.0077683
"G06","6592",.0007437
"G06","6599",.0020382
"G06","6601",.0024222
"G06","6602",.00043
"G06","6603",.0011961
"G06","6711",.0008682
"G06","6712",.0000955
"G06","6719",.0100779
"G06","6720",.0014243
"G06","7010",.0000318
"G06","7020",.000143
"G06","7220",.2313131
"G06","7240",.0049918
"G06","7290",.0021558
"G06","7411",.0000916
"G06","7414",.0001001
"G06","7511",.0003731
"G06","7530",.0009409
"G06","8030",.0000255
"G07","2101",.0226471
"G07","2919",.0390264
"G07","3000",.0468375
"G07","6411",.0415208
"G07","6412",.0018927
"G07","6511",.000383
"G07","7412",.1209905
"G07","9249",.726702
"G08","3000",.0830324
"G08","3140",.0729034
"G08","3220",.0147243
"G08","3230",.0674455
"G08","3312",.1012282
"G08","3313",.0556769
"G08","3320",.1024106
"G08","3410",.0243843
"G08","3530",.289867
"G08","6304",.0031529
"G08","6309",.0004237
"G08","7413",.0509794
"G08","7421",.0019374
"G08","7492",.1097375
"G08","7499",.0113707
"G08","7514",.0021739
"G08","9500",.008552
"G09","2429",.0398425
"G09","3000",.1061356
"G09","3210",.683013
"G09","3330",.1653796
"G09","7430",.0031546
"G09","7495",.0004446
"G09","7512",.0011879
"G09","9212",.0002171
"G09","9232",.0004314
"G09","9303",.0001937
"G10","1912",.039665
"G10","2023",.3945011
"G10","2029",.133572
"G10","2213",.0646432
"G10","2519",.0843455
"G10","2520",.0925357
"G10","2899",.0719741
"G10","2911",.0235797
"G10","2913",.0644727
"G10","3140",.030711
"G11","2926",.0744757
"G11","3000",.3057653
"G11","3210",.1105898
"G11","3312",.0236545
"G11","3320",.1120597
"G11","3330",.3383742
"G11","5520",.0350808
"G12","2520",.0276397
"G12","2610",.0328426
"G12","2695",.0381061
"G12","2926",.0870107
"G12","3150",.0260932
"G12","3312",.1219324
"G12","3313",.2617988
"G12","3320",.3612886
"G12","3530",.0344045
"G12","9214",.0088835
"G21","1721",.0490981
"G21","2411",.0735677
"G21","2412",.0291868
"G21","2695",.1261958
"G21","2710",.1603121
"G21","2720",.0459715
"G21","2731",.0451655
"G21","2915",.0241273
"G21","4030",.3939092
"G21","4100",.0487326
"G21","7513",.0037333
"H01","2411",.0232014
"H01","2429",.0260611
"H01","2610",.0285468
"H01","2693",.0281301
"H01","2891",.061513
"H01","3120",.0332095
"H01","3140",.1126472
"H01","3210",.4656835
"H01","3320",.0276251
"H01","4510",.1933823
"H02","2710",.0307132
"H02","3110",.4585636
"H02","3140",.3956355
"H02","3312",.0618179
"H02","3313",.0532698
"H03","3210",.0999554
